theme,label
persecutory_paranoid,Persecutory / paranoid
persecutory,Persecutory
paranoid,Paranoid
systemised,Systemised
reference,Reference
family_relatives,Family / relatives
grandiose_grandioseability_grandeur,Grandiose
grandiose,Grandiose
identity_grandioseidentity,Grandiose identity
schneiderian,Schneiderian
paranormal,Paranormal
influence,Influence
passivity,Passivity
political,Political
neighbours_friends_closeassociates,Neighbours / friends / associates
perception,Perception
sexual,Sexual
religious,Religious
beingspiedon_watched,Spied on / watched
thought_mindreading,Mindreading
physical_chemical_technical,Physical / chemical / technical
poisoning,Poisoning
control,Control
massmedia,Mass media
bizarre,Bizarre
somatic,Somatic
thoughtbroadcasting_spokenaloud_dissemination,Thought broadcast 
loveaffair,Love affair
police_secretagent_army,Police / secret agent / army
medicalstaff_teacher,Medical staff / teacher
jealousy,Jealousy
thoughtinsertion,Thought insertion
guilt/sin,Guilt / sin
hypochondriacal,Hypochondriacal
machine_computer,Machine / computer
erotomanicheterosexual,Erotomanic heterosexual
thoughtecho,Thought echo
thought_broadcast,Thought broadcast 
economy_business,Economy / business
god_jesus_prophet_religiousbeingspecialrelationcommunication,Special relationship religious being
brain_visceraextracted,Brain / viscera extracted
thoughtwithdrawal,Thought withdrawal
invention,Invention
famous_king_celebrity_sociallydistinguished,Famous / socially distinguished identity 
nihilistic_negation,Nihilistic / negation
primary,Primary
poverty,Poverty
spy_surveillance,Spy / surveillance
beingpolitical_royalfamily_king_hero,Being politician / royal / hero
possession,Possession
monothematic,Monothematic
misinterpetation,Misinterpretation
specialpowers_skills,Special powers / skills
infidelity_loveaffair,Infidelity
madevolition,Made volition
madeaffect,Made affect
socialstatus_beingpolitical_royalfamily_king_hero,High social status (political / royal)
mixed_multiple_various,Polythematic
beingreligiousleader_god_prophet_saint,Religious leader / God / Prophet / Saint
socialstatus(famous_king_celebrity_sociallydistinguished),High social status (famous / king / celebrity)
thoughtecho_gedankenlautwerden,Thought echo
fantastic_delusionalmemories,Fantastic delusional memories
catastrophe_worldcatastrophe,Catastrophe / world catastrophe
madeimpulse,Made impulse
